Date,Open,High,Low,Close,Adj Close,Volume
2024-04-11,85.739998,88.250000,84.940002,86.339996,86.339996,8896300
2024-04-12,84.629997,86.739998,83.510002,83.889999,83.889999,5867300
2024-04-15,85.500000,86.449997,80.339996,80.669998,80.669998,7638000
2024-04-16,80.449997,83.360001,79.589996,82.360001,82.360001,6775600
2024-04-17,83.160004,85.129997,80.099998,81.879997,81.879997,6168700
2024-04-18,82.589996,84.790001,80.029999,81.010002,81.010002,6618400
2024-04-19,79.910004,80.150002,74.570000,75.010002,75.010002,15904000
2024-04-22,75.800003,77.249001,72.580002,76.070000,76.070000,10949600
2024-04-23,76.870003,79.790001,76.419998,79.169998,79.169998,7385700
2024-04-24,89.790001,94.389999,81.839996,84.570000,84.570000,28787700
2024-04-25,83.000000,92.488998,81.900002,90.349998,90.349998,20852400
2024-04-26,92.870003,95.320000,92.559998,93.489998,93.489998,15253900
2024-04-29,93.180000,94.860001,91.190002,94.800003,94.800003,11883700
2024-04-30,93.750000,95.700996,91.330002,93.000000,93.000000,11015300
2024-05-01,92.129997,93.000000,86.791000,88.519997,88.519997,10953700
2024-05-02,90.470001,92.440002,87.360001,92.169998,92.169998,6046500
2024-05-03,94.180000,94.879997,92.559998,93.010002,93.010002,4680635
